timestamp,coin,price,volume,sentiment,score,action,confidence,future_price,result
2025-06-06 00:15:49,BITCOIN,103253.0,43298820221.0,0,2164.941,SELL 🛑,100.0,2461.58,LOSE
2025-06-06 00:15:51,ETHEREUM,2461.58,28597032665.0,0,1429.852,SELL 🛑,99.9,2.13,LOSE
2025-06-06 00:15:52,RIPPLE,2.13,3066711154.0,0,153.336,SELL 🛑,67.72,147.49,WIN
2025-06-06 00:15:53,SOLANA,147.49,5051932752.0,0,252.597,SELL 🛑,77.22,0.00304,LOSE
2025-06-06 00:15:55,MIND (Mind of Pepe),0.00304,1553085.4,0,0.078,SELL 🛑,50.01,3.053e-05,LOSE
2025-06-06 00:15:56,WEPE (Wall Street Pepe),3.053e-05,187749.82,0,0.009,SELL 🛑,50.0,103255.0,WIN
2025-06-06 00:54:34,BITCOIN,103255.0,43642096835.0,0,2182.105,📉 Strong Sell,,2456.61,LOSE
2025-06-06 00:54:35,ETHEREUM,2456.61,29221004510.0,0,1461.05,📉 Strong Sell,,2.13,LOSE
2025-06-06 00:54:37,RIPPLE,2.13,3083441932.0,0,154.172,👎 Sell,,147.27,WIN
2025-06-06 00:54:39,SOLANA,147.27,5054565212.0,0,252.728,👎 Sell,,0.003043,LOSE
2025-06-06 00:54:40,MIND (Mind of Pepe),0.003043,1509489.61,0,0.075,🤝 Hold,,3.059e-05,LOSE
2025-06-06 00:54:41,WEPE (Wall Street Pepe),3.059e-05,186162.91,0,0.009,🤝 Hold,,103279.0,WIN
2025-06-06 01:15:58,BITCOIN,103279.0,43789804317.0,0,2189.49,SELL 🛑,100.0,2458.61,LOSE
2025-06-06 01:15:59,ETHEREUM,2458.61,29266063513.0,0,1463.303,SELL 🛑,99.92,2.13,LOSE
2025-06-06 01:16:01,RIPPLE,2.13,3090149820.0,0,154.507,SELL 🛑,67.85,147.45,WIN
2025-06-06 01:16:02,SOLANA,147.45,5053493574.0,0,252.675,SELL 🛑,77.23,0.003031,LOSE
2025-06-06 01:16:04,MIND (Mind of Pepe),0.003031,1482473.27,0,0.074,SELL 🛑,50.01,3.081e-05,LOSE
2025-06-06 01:16:06,WEPE (Wall Street Pepe),3.081e-05,185033.28,0,0.009,SELL 🛑,50.0,103551.0,WIN
2025-06-06 01:54:43,BITCOIN,103551.0,44158454504.0,0,2207.923,📉 Strong Sell,,2462.81,LOSE
2025-06-06 01:54:44,ETHEREUM,2462.81,29346529822.0,0,1467.326,📉 Strong Sell,,2.14,LOSE
2025-06-06 01:54:46,RIPPLE,2.14,3055335372.0,0,152.767,👎 Sell,,147.92,WIN
2025-06-06 01:54:47,SOLANA,147.92,5043324445.0,0,252.166,👎 Sell,,0.003177,LOSE
2025-06-06 01:54:48,MIND (Mind of Pepe),0.003177,1429899.07,0,0.071,🤝 Hold,,3.081e-05,LOSE
2025-06-06 01:54:49,WEPE (Wall Street Pepe),3.081e-05,184047.04,0,0.009,🤝 Hold,,103622.0,WIN
2025-06-06 02:16:07,BITCOIN,103622.0,44337324530.0,0,2216.866,SELL 🛑,100.0,2464.1,LOSE
2025-06-06 02:16:09,ETHEREUM,2464.1,29327333956.0,0,1466.367,SELL 🛑,99.92,2.14,LOSE
2025-06-06 02:16:10,RIPPLE,2.14,3086543161.0,0,154.327,SELL 🛑,67.83,148.17,WIN
2025-06-06 02:16:11,SOLANA,148.17,5031316572.0,0,251.566,SELL 🛑,77.13,0.003223,LOSE
2025-06-06 02:16:13,MIND (Mind of Pepe),0.003223,1401978.76,0,0.07,SELL 🛑,50.01,3.095e-05,LOSE
2025-06-06 02:16:14,WEPE (Wall Street Pepe),3.095e-05,188970.95,0,0.009,SELL 🛑,50.0,103664.0,WIN
2025-06-06 02:54:51,BITCOIN,103664.0,44525838567.0,0,2226.292,📉 Strong Sell,,2472.51,LOSE
2025-06-06 02:54:53,ETHEREUM,2472.51,29488566493.0,0,1474.428,📉 Strong Sell,,2.15,LOSE
2025-06-06 02:54:54,RIPPLE,2.15,3065073343.0,0,153.254,👎 Sell,,147.87,WIN
2025-06-06 02:54:55,SOLANA,147.87,5060409562.0,0,253.02,👎 Sell,,0.003099,LOSE
