timestamp,coin,price,volume,sentiment,score,action,future_price,result
2025-06-04 17:48:20,SHIBA-INU,1.286e-05,139784074.0,0,6.989,HOLD ⏸️,,
2025-06-04 17:48:22,FLOKI,8.222e-05,75360707.0,0,3.768,HOLD ⏸️,,
2025-06-04 17:48:24,PEANUT,0.00284472,106882.0,0,0.005,HOLD ⏸️,,
2025-06-04 17:48:25,MIND (Mind of Pepe),0.003184,2418987.72,0,0.121,SELL 🛑,0.003214,LOSE
2025-06-04 17:48:27,WEPE (Wall Street Pepe),3.37e-05,207557.96,0,0.01,SELL 🛑,3.357e-05,WIN
2025-06-04 17:53:28,RIPPLE,2.21,1706562863.0,0,85.328,HOLD ⏸️,,
2025-06-04 17:53:30,SHIBA-INU,1.286e-05,132290487.0,0,6.615,HOLD ⏸️,,
2025-06-04 17:53:31,FLOKI,8.228e-05,74918103.0,0,3.746,HOLD ⏸️,,
2025-06-04 17:53:33,PEANUT,0.00284471,107144.0,0,0.005,HOLD ⏸️,,
2025-06-04 17:53:35,MIND (Mind of Pepe),0.003214,2422614.23,0,0.121,SELL 🛑,0.00331,LOSE
2025-06-04 17:53:36,WEPE (Wall Street Pepe),3.357e-05,208226.14,0,0.01,SELL 🛑,3.338e-05,WIN
2025-06-04 17:58:37,RIPPLE,2.21,1705630777.0,0,85.282,HOLD ⏸️,,
2025-06-04 17:58:39,SHIBA-INU,1.287e-05,132382193.0,0,6.619,HOLD ⏸️,,
2025-06-04 17:58:41,FLOKI,8.234e-05,74888967.0,0,3.744,HOLD ⏸️,,
2025-06-04 17:58:42,PEANUT,0.00284661,106706.0,0,0.005,HOLD ⏸️,,
2025-06-04 17:58:44,MIND (Mind of Pepe),0.00331,2424909.87,0,0.121,SELL 🛑,0.003529,LOSE
2025-06-04 17:58:45,WEPE (Wall Street Pepe),3.338e-05,209208.03,0,0.01,SELL 🛑,3.336e-05,WIN
2025-06-04 18:03:47,RIPPLE,2.21,1703732699.0,0,85.187,HOLD ⏸️,,
2025-06-04 18:03:48,SHIBA-INU,1.289e-05,139975179.0,0,6.999,HOLD ⏸️,,
2025-06-04 18:03:50,FLOKI,8.248e-05,74892692.0,0,3.745,HOLD ⏸️,,
2025-06-04 18:03:51,PEANUT,0.00284569,106571.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:03:53,MIND (Mind of Pepe),0.003529,2435885.62,0,0.122,SELL 🛑,0.003525,WIN
2025-06-04 18:03:54,WEPE (Wall Street Pepe),3.336e-05,208791.13,0,0.01,SELL 🛑,3.335e-05,WIN
2025-06-04 18:08:56,RIPPLE,2.21,1701154105.0,0,85.058,HOLD ⏸️,,
2025-06-04 18:08:58,SHIBA-INU,1.29e-05,140061699.0,0,7.003,HOLD ⏸️,,
2025-06-04 18:08:59,FLOKI,8.256e-05,75141131.0,0,3.757,HOLD ⏸️,,
2025-06-04 18:09:01,PEANUT,0.00284662,106428.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:09:02,MIND (Mind of Pepe),0.003525,2442929.72,0,0.122,SELL 🛑,0.003396,WIN
2025-06-04 18:09:03,WEPE (Wall Street Pepe),3.335e-05,209320.16,0,0.01,SELL 🛑,3.201e-05,WIN
2025-06-04 18:14:05,RIPPLE,2.21,1698147732.0,0,84.907,HOLD ⏸️,,
2025-06-04 18:14:06,SHIBA-INU,1.291e-05,140176995.0,0,7.009,HOLD ⏸️,,
2025-06-04 18:14:08,FLOKI,8.262e-05,75150402.0,0,3.758,HOLD ⏸️,,
2025-06-04 18:14:10,PEANUT,0.00284568,106441.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:14:11,MIND (Mind of Pepe),0.003396,2450713.2,0,0.123,SELL 🛑,0.003405,LOSE
2025-06-04 18:14:12,WEPE (Wall Street Pepe),3.201e-05,217512.82,0,0.011,SELL 🛑,3.196e-05,WIN
2025-06-04 18:19:14,RIPPLE,2.21,1694752819.0,0,84.738,HOLD ⏸️,,
2025-06-04 18:19:16,SHIBA-INU,1.291e-05,140228515.0,0,7.011,HOLD ⏸️,,
2025-06-04 18:19:17,FLOKI,8.265e-05,74742014.0,0,3.737,HOLD ⏸️,,
2025-06-04 18:19:19,PEANUT,0.00284568,106441.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:19:20,MIND (Mind of Pepe),0.003405,2452817.02,0,0.123,SELL 🛑,0.003359,WIN
2025-06-04 18:19:21,WEPE (Wall Street Pepe),3.196e-05,218437.88,0,0.011,SELL 🛑,3.191e-05,WIN
2025-06-04 18:24:23,RIPPLE,2.21,1689963298.0,0,84.498,HOLD ⏸️,,
2025-06-04 18:24:25,SHIBA-INU,1.291e-05,140147741.0,0,7.007,HOLD ⏸️,,
2025-06-04 18:24:26,FLOKI,8.264e-05,75038374.0,0,3.752,HOLD ⏸️,,
2025-06-04 18:24:28,PEANUT,0.00284525,106419.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:24:29,MIND (Mind of Pepe),0.003359,2453075.36,0,0.123,SELL 🛑,0.0033,WIN
2025-06-04 18:24:31,WEPE (Wall Street Pepe),3.191e-05,218567.43,0,0.011,SELL 🛑,3.214e-05,LOSE
2025-06-04 18:29:33,RIPPLE,2.21,1688879465.0,0,84.444,HOLD ⏸️,,
2025-06-04 18:29:34,SHIBA-INU,1.29e-05,140245730.0,0,7.012,HOLD ⏸️,,
2025-06-04 18:29:37,FLOKI,8.248e-05,74656250.0,0,3.733,HOLD ⏸️,,
2025-06-04 18:29:40,PEANUT,0.00284522,106418.0,0,0.005,HOLD ⏸️,,
2025-06-04 18:29:42,MIND (Mind of Pepe),0.0033,2456655.33,0,0.123,SELL 🛑,0.003185,WIN
2025-06-04 18:29:43,WEPE (Wall Street Pepe),3.214e-05,220093.35,0,0.011,SELL 🛑,3.216e-05,LOSE
2025-06-04 18:34:45,RIPPLE,2.21,1684987741.0,0,84.249,HOLD ⏸️,,
2025-06-04 18:34:46,SHIBA-INU,1.287e-05,132488415.0,0,6.624,HOLD ⏸️,,
2025-06-04 18:34:48,FLOKI,8.233e-05,74243700.0,0,3.712,HOLD ⏸️,,
